Magazine,Month,Year,Special,Cover Model,Centerfold/Pet,Value,Interviews
Playboy,Nov,1965,,,,,
Playboy,Jan,1975,,,,,
Playboy,Nov,1966,,,,,
Playboy,Jul,1965,,,,,
Playboy,Aug,1965,,,,,
Playboy,Apr,1964,,,,,
Playboy,Oct,1964,,,,,
Playboy,Dec,1964,,,,,
Playboy,Aug,1962,,,,,
Playboy,Dec,1965,,,,,
Playboy,Apr,1967,,,,,
Playboy,Feb,1967,,,,,
Playboy,Dec,1968,,,,,
Playboy,Jul,1968,,,,,
Playboy,May,1968,,,,,
Playboy,Dec,1969,,,,,
Playboy,Nov,1969,,,,,
Playboy,Oct,1969,,,,,
Playboy,Aug,1969,,,,,
Playboy,Apr,1969,,,,,
Playboy,March,1969,,,,,
Playboy,sept,1967,,,,,
Playboy,October,1967,,,,,
Playboy,August,1966,,,,,
Playboy,June,1966,,,,,
Playboy,December,1971,,,,,
Playboy,November,1971,,,,,
Playboy,April,1971,,,,,
Playboy,February,1971,,,,,
Playboy,January,1971,,,,,
Playboy,February,1970,,,,,
Playboy,July,1970,,,,,
Playboy,August,1970,,,,,
Playboy,October,1970,,,,,
Playboy,November,1970,,,,,
Playboy,January,1969,,,,,
Playboy,August,1967,,,,,
Playboy,June,1967,,,,,
Playboy,August,1972,,,,,
Playboy,July,1971,,,,,
Playboy,June,1972,,,,,
Playboy,December,1973,,,,,
Playboy,October,1973,,,,,
Playboy,sept,1973,,,,,
Playboy,August,1973,,,,,
Playboy,July,1973,,,,,
Playboy,June,1973,,,,,
Playboy,May,1973,,,,,
Playboy,December,1971,,,,,
Playboy,December,1974,,,,,
Playboy,November,1974,,,,,
Playboy,October,1974,,,,,
Playboy,seot,1974,,,,,
Playboy,August,1974,,,,,
Playboy,July,1974,,,,,
Playboy,June,1974,,,,,
Playboy,December,1972,,,,,
Playboy,April,1973,,,,,
Playboy,March,1973,,,,,
Playboy,October,1972,,,,,
Playboy,sept,1972,,,,,
Playboy,February,1974,,,,,
Playboy,February,1975,,,,,
Playboy,sept,1975,,,,,
Playboy,August,1975,,,,,
Playboy,July,1975,,,,,
Playboy,May,1975,,,,,
Playboy,April,1975,,,,,
Playboy,January,1974,,,,,
Playboy,June,1976,,,,,
Playboy,July,1976,,,,,
Playboy,April,1976,,,,,
Playboy,March,1976,,,,,
Playboy,February,1976,,,,,
Playboy,January,1976,,,,,
Playboy,November,1976,,,,,
Playboy,October,1976,,,,,
Playboy,August,1976,,,,,
Playboy,April,1974,,,,,
Playboy,March,1974,,,,,
Playboy,April,1977,,,,,
Playboy,May,1977,,,,,
Playboy,June,1977,,,,,
Playboy,July,1977,,,,,
Playboy,September,1977,,,,,
Playboy,October,1977,,,,,
Playboy,November,1977,,,,,
Playboy,December,1977,,,,,
Playboy,July,1976,,,,,
Playboy,sept,1979,,,,,
Playboy,October,1979,,,,,
Playboy,November,1979,,,,,
Playboy,December,1979,,,,,
Playboy,January,1978,,,,,
Playboy,March,1978,,,,,
Playboy,April,1978,,,,,
Playboy,June,1978,,,,,
Playboy,August,1978,,,,,
Playboy,September,1978,,,,,
Playboy,November,1978,,,,,
Playboy,December,1978,Special,,,,
Playboy,December,1978,,,,,
Playboy,October,1980,,,,,
Playboy,November,1980,,,,,
Playboy,January,1979,,,,,
Playboy,February,1979,,,,,
Playboy,April,1979,,,,,
Playboy,May,1979,,,,,
Playboy,June,1979,,,,,
Playboy,August,1979,,,,,
Playboy,January,1984,,,,,
Playboy,February,1984,,,,,
Playboy,March,1984,,,,,
Playboy,April,1984,,,,,
Playboy,September,1984,,,,,
Playboy,peb,1982,,,,,
Playboy,June,1982,,,,,
Playboy,May,1981,,,,,
Playboy,August,1981,,,,,
Playboy,November,1981,,,,,
Playboy,December,1981,,,,,
Playboy,August,1980,,,,,
Playboy,January,1980,,,,,
Playboy,December,2010,,,,,
Playboy,March,2007,,,,,
Playboy,January,2005,,,,,
Playboy,November,2003,,,,,
Playboy,December,1992,,,,,
Playboy,March,2002,,,,,
Playboy,March,1999,,,,,
Playboy,December,1999,,,,,
Playboy,December,1994,,,,,
Playboy,July,1988,,,,,
Playboy,January,1987,,,,,
Playboy,December,1986,,,,,
Playboy,January,1985,,,,,
Penthouse,January,1976,,,,,
Penthouse,January,1976,,,,,
Penthouse,May,1976,,,,,
Penthouse,February,1975,,,,,
Penthouse,December,1975,,,,,
Penthouse,January,1974,,,,,
Penthouse,May,1974,,,,,
Penthouse,June,1974,,,,,
Penthouse,July,1974,,,,,
Penthouse,August,1973,,,,,
Penthouse,November,1973,,,,,
Penthouse,January,1995,,,,,
Penthouse,May,1989,,,,,
Penthouse,July,1987,,,,,
Penthouse,August,1984,,,,,
Penthouse,November,1983,,,,,
Penthouse,May,1981,,,,,
Penthouse,December,1981,,,,,
Penthouse,February,1979,,,,,
Penthouse,February,1978,,,,,
Penthouse,March,1978,,,,,
Penthouse,April,1978,,,,,
Penthouse,june,1978,,,,,
Penthouse,September,1978,,,,,
Penthouse,May,1977,,,,,
Penthouse,October,1977,,,,,
Penthouse,November,1977,,,,,
Playboy,November,1980,,,,,
Playboy,January,1989,,,,,
Playboy,February,1968,,,,,
Playboy,now,1978,,,,,
Playboy,April,1977,,,,,
Penthouse,November,1973,,,,,
Playboy's Girls of The World,N/A,0,Pictorials,,,,
The Playboy Cartoon Album 3,N/A,0,All cartoons,,,,
Penthouse,November,1976,,,,,
Playboy Special tribute Issue - Celebrating Hef,N/A,0,Special,,,,
Playboy,October,1971,,,,,
Playboy,December,1967,,,,,
Playboy,July,1973,,,,,
Playboy,November,1982,,,,,
Playboy,October,1966,,,,,
Playboy,October,1976,,,,,
Playboy,December,1980,,,,,
Playboy,February,1974,,,,,
Playboy,May,1971,,,,,
Playboy,April,1978,,,,,
Playboy,June,1972,,,,,
Playboy,February,1969,,,,,
Playboy,August,1970,,,,,
Playboy,October,1973,,,,,
Playboy,May,1978,,,,,
Penthouse,November,1969,,,,,
Penthouse - Pet Poster,N/A,0,Victoria Lynn Johnson,,,,
Penthouse - Pet Calendar,N/A,0,Victoria Lyn  Johnson,,,,
Oui,December,1981,,,,,
Playboy Presents 50 Beautiful Women,1989,1989,A Special Collection,,,,
Playboy,April,1981,,,,,
Playboy,January,1973,,,,,
Playboy,June,1982,,,,,
Playboy,June,1973,,,,,
Playboy,May,1977,,,,,
Playboy,December,1981,,,,,
Playboy,July,1966,,,,,
Playboy,April,1966,,,,,
Playboy,November,1964,,,,,
Playboy,sept,1981,,,,,
Playboy,July,1963,,,,,
Playboy,February,1965,,,,,
Playboy,sept,1969,,,,,
Playboy,March,1974,,,,,
Playboy,May,1966,,,,,
Playboy,December,1980,,,,,
Playboy,sept,1996,,,,,
Playboy,April,1988,,,,,
Playboy,june,1971,,,,,
Playboy,March,1994,,,,,
Playboy,December,1985,,,,,
Playboy,jab,1984,,,,,
Playboy,sept,1978,,,,,
Playboy,June,1968,,,,,
Playboy,October,1983,,,,,
Penthouse,October,1973,,,,,
Penthouse,February,1973,,,,,
Playboy,January,1976,,,,,
Penthouse,December,1975,,,,,
Penthouse,August,1977,,,,,
Penthouse,April,1977,,,,,
Penthouse,July,1981,,,,,
Penthouse,November,1975,,,,,
Penthouse,sept,1974,,,,,
Penthouse,March,1974,,,,,
Penthouse,December,1972,,,,,
Penthouse,August,1980,,,,,
Playboy,April,1976,,,,,
Oui,sept,1973,,,,,
Oui,july,1975,,,,,
Oui,December,1977,,,,,
Oui,December,1974,,,,,
Easyriders,October,1983,,,,,
Playboy,sept,1970,,,,,
OUI Album,N/A,0,Special Collectors Edition,,,,
Playboy,sept,1977,,,,,
Playboy,April,1970,,,,,
OUI,October,1976,,,,,
Playboy,January,1969,,,,,